Name,State,Lat,Lon,Elev_m,climSWE,dSWE,HUC02
Adin Mtn,USCA,41.2400,-120.7900,1886.7,100.0,-0.5,HUC18
Blue Lakes,USCA,38.6100,-119.9200,2458.8,80.0,0.0,HUC16
Burnside Lake,USCA,38.7200,-119.8900,2477.7,NaN,-0.4,HUC16
Carson Pass,USCA,38.6900,-120.0000,2548.1,NaN,-0.4,HUC18
Cedar Pass,USCA,41.5800,-120.3000,2142.7,89.0,-0.3,HUC18
Crowder Flat,USCA,41.8900,-120.7500,1575.8,NaN,0.0,HUC18
Css Lab,USCA,39.3300,-120.3700,2101.3,79.0,-0.7,HUC18
Dismal Swamp,USCA,41.9900,-120.1800,2243.3,82.0,-0.6,HUC17
Ebbetts Pass,USCA,38.5500,-119.8000,2639.9,81.0,0.0,HUC16
Echo Peak,USCA,38.8500,-120.0800,2332.6,86.0,-0.5,HUC16
Fallen Leaf,USCA,38.9300,-120.0500,1902.6,NaN,-1.0,HUC16
Forestdale Creek,USCA,38.6800,-119.9600,2443.6,NaN,-0.2,HUC16
Fredonyer Peak,USCA,40.6900,-120.6100,2197.0,NaN,-0.5,HUC18
Hagans Meadow,USCA,38.8500,-119.9400,2359.8,84.0,-0.6,HUC16
Heavenly Valley,USCA,38.9200,-119.9200,2601.2,69.0,-0.3,HUC16
Horse Meadow,USCA,38.8400,-119.8900,2608.2,NaN,-0.4,HUC16
Independence Camp,USCA,39.4500,-120.2900,2127.5,90.0,-0.7,HUC16
Independence Creek,USCA,39.4900,-120.2800,1961.7,58.0,-0.4,HUC16
Independence Lake,USCA,39.4300,-120.3100,2541.4,61.0,0.2,HUC16
Leavitt Lake,USCA,38.2800,-119.6100,2927.3,70.0,0.0,HUC16
Leavitt Meadows,USCA,38.3000,-119.5500,2194.0,102.0,0.0,HUC16
Lobdell Lake,USCA,38.4400,-119.3700,2819.1,72.0,0.0,HUC16
Monitor Pass,USCA,38.6700,-119.6100,2531.7,86.0,-0.2,HUC16
Poison Flat,USCA,38.5100,-119.6300,2357.9,104.0,0.0,HUC16
Rubicon #2,USCA,39.0000,-120.1300,2322.3,65.0,-0.5,HUC16
Sonora Pass,USCA,38.3100,-119.6000,2673.1,72.0,0.0,HUC16
Spratt Creek,USCA,38.6700,-119.8200,1848.0,NaN,0.0,HUC16
Squaw Valley G.C.,USCA,39.1900,-120.2700,2442.4,56.0,-0.2,HUC16
State Line,USCA,41.9900,-120.7200,1731.3,NaN,-0.5,HUC18
Summit Meadow,USCA,38.4000,-119.5400,2838.6,NaN,0.0,HUC16
Tahoe City Cross,USCA,39.1700,-120.1500,2071.7,21.0,-0.3,HUC16
Truckee #2,USCA,39.3000,-120.1800,1983.9,79.0,-0.6,HUC16
Virginia Lakes Ridge,USCA,38.0700,-119.2300,2865.1,68.0,0.0,HUC16
Ward Creek #3,USCA,39.1400,-120.2200,2055.9,89.0,-0.3,HUC16
Apishapa,USCO,37.3300,-105.0700,3048.0,196.0,-0.3,HUC11
Arapaho Ridge,USCO,40.3500,-106.3800,3340.6,NaN,0.0,HUC14
Bear Lake,USCO,40.3100,-105.6400,2895.6,106.0,0.0,HUC10
Bear River,USCO,40.0600,-107.0100,2767.6,NaN,0.0,HUC14
Beartown,USCO,37.7100,-107.5100,3535.7,94.0,0.3,HUC13
Beaver Ck Village,USCO,39.6000,-106.5100,2590.8,NaN,0.0,HUC14
Berthoud Summit,USCO,39.8000,-105.7800,3444.2,97.0,NaN,HUC14
Bison Lake,USCO,39.7600,-107.3600,3316.2,93.0,0.0,HUC14
Black Mesa,USCO,37.7900,-108.1800,3529.6,NaN,0.0,HUC14
Black Mountain,USCO,40.8900,-105.6600,2718.8,NaN,0.3,HUC10
Brumley,USCO,39.0900,-106.5400,3230.9,111.0,0.0,HUC11
Buckskin Joe,USCO,39.3000,-106.1100,3398.5,NaN,0.0,HUC10
Buffalo Park,USCO,40.2300,-106.6000,2816.4,86.0,0.0,HUC14
Burro Mountain,USCO,39.8800,-107.6000,2865.1,79.0,0.0,HUC14
Butte,USCO,38.8900,-106.9500,3096.8,85.0,0.0,HUC14
Cascade #2,USCO,37.6600,-107.8000,2718.8,NaN,-0.7,HUC14
Cascade,USCO,37.6500,-107.8100,2706.6,94.0,0.0,HUC14
Chapman Tunnel,USCO,39.2600,-106.6300,3081.5,NaN,0.0,HUC14
Cochetopa Pass,USCO,38.1600,-106.6000,3054.1,NaN,0.0,HUC14
Columbine,USCO,40.3900,-106.6000,2792.0,98.0,0.5,HUC10
Columbine Pass,USCO,38.4200,-108.3800,2865.1,99.0,0.0,HUC14
Columbus Basin,USCO,37.4400,-108.0200,3287.3,70.0,0.2,HUC14
Copeland Lake,USCO,40.2100,-105.5700,2621.3,NaN,-0.5,HUC10
Copper Mountain,USCO,39.4900,-106.1700,3215.6,89.0,0.0,HUC14
Crosho,USCO,40.1700,-107.0600,2773.7,97.0,0.0,HUC14
Culebra #2,USCO,37.2100,-105.2000,3200.4,143.0,-0.2,HUC13
Cumbres Trestle,USCO,37.0200,-106.4500,3060.2,98.0,0.0,HUC13
Deadman Hill,USCO,40.8100,-105.7700,3115.1,117.0,0.0,HUC10
Dry Lake,USCO,40.5300,-106.7800,2560.3,80.0,-0.2,HUC14
Echo Lake,USCO,39.6600,-105.5900,3230.9,NaN,0.0,HUC10
El Diente Peak,USCO,37.7900,-108.0200,3048.0,99.0,0.0,HUC14
Elk River,USCO,40.8500,-106.9700,2651.8,91.0,0.2,HUC14
Elkhead Divide,USCO,40.8000,-107.1000,2676.1,NaN,0.2,HUC14
Elliot Ridge,USCO,39.8600,-106.4200,3206.5,NaN,0.2,HUC14
Fool Creek,USCO,39.8700,-105.8700,3398.5,NaN,0.0,HUC14
Fremont Pass,USCO,39.3800,-106.2000,3474.7,85.0,0.0,HUC14
Glen Cove,USCO,38.8800,-105.0700,3493.0,NaN,0.0,HUC11
Grayback,USCO,37.4700,-106.5400,3541.8,NaN,-0.3,HUC13
Grizzly Peak,USCO,39.6500,-105.8700,3383.3,82.0,0.0,HUC14
Hayden Pass,USCO,38.2900,-105.8500,3267.5,NaN,-0.2,HUC13
High Lonesome,USCO,40.0400,-105.7500,3237.0,NaN,0.2,HUC14
Hoosier Pass,USCO,39.3600,-106.0600,3474.7,91.0,0.0,HUC10
Hourglass Lake,USCO,40.5800,-105.6300,2859.0,NaN,0.0,HUC10
Idarado,USCO,37.9300,-107.6800,2987.0,98.0,0.0,HUC14
Independence Pass,USCO,39.0800,-106.6100,3230.9,92.0,0.0,HUC14
Ivanhoe,USCO,39.2900,-106.5500,3169.9,107.0,0.2,HUC14
Jackwhacker Gulch,USCO,39.5700,-105.8000,3340.6,NaN,0.0,HUC10
Joe Wright,USCO,40.5300,-105.8900,3084.6,98.0,0.2,HUC10
Jones Pass,USCO,39.7600,-105.9100,3169.9,NaN,0.0,HUC14
Kiln,USCO,39.3200,-106.6100,2926.1,99.0,0.0,HUC14
Lake Eldora,USCO,39.9400,-105.5900,2956.6,104.0,0.0,HUC10
Lake Irene,USCO,40.4100,-105.8200,3261.4,81.0,0.0,HUC14
Lily Pond,USCO,37.3800,-106.5500,3352.8,118.0,-0.3,HUC13
Lizard Head Pass,USCO,37.8000,-107.9200,3109.0,89.0,0.0,HUC14
Lone Cone,USCO,37.8900,-108.2000,2926.1,92.0,0.0,HUC14
Long Draw Resv,USCO,40.5100,-105.7700,3041.9,NaN,NaN,HUC10
Lost Dog,USCO,40.8200,-106.7500,2840.7,NaN,0.0,HUC14
Loveland Basin,USCO,39.6700,-105.9000,3474.7,84.0,0.2,HUC10
Lynx Pass,USCO,40.0800,-106.6700,2706.6,93.0,0.0,HUC14
Mancos,USCO,37.4300,-108.1700,3048.0,73.0,-0.6,HUC14
Mc Clure Pass,USCO,39.1300,-107.2900,2895.6,82.0,-0.4,HUC14
Mccoy Park,USCO,39.6000,-106.5400,2889.5,NaN,0.2,HUC14
Medano Pass,USCO,37.8500,-105.4400,2941.0,NaN,-0.5,HUC13
Mesa Lakes,USCO,39.0600,-108.0600,3048.0,78.0,-0.4,HUC14
Michigan Creek,USCO,39.4400,-105.9100,3230.9,NaN,0.0,HUC10
Middle Creek,USCO,37.6200,-107.0300,3429.0,100.0,0.0,HUC13
Middle Fork Camp,USCO,39.8000,-106.0300,2724.9,NaN,0.3,HUC14
Mineral Creek,USCO,37.8500,-107.7300,3060.2,95.0,0.0,HUC14
Molas Lake,USCO,37.7500,-107.6900,3200.4,78.0,-0.8,HUC14
Moon Pass,USCO,37.9700,-106.5600,3395.5,NaN,0.0,HUC13
Nast Lake,USCO,39.3000,-106.6100,2651.8,122.0,0.3,HUC14
Never Summer,USCO,40.4000,-105.9600,3133.3,NaN,0.0,HUC10
Niwot,USCO,40.0400,-105.5400,3020.6,105.0,0.0,HUC10
North Lost Trail,USCO,39.0800,-107.1400,2804.2,98.0,0.0,HUC14
Overland Res.,USCO,39.0900,-107.6300,2999.2,88.0,0.2,HUC14
Park Cone,USCO,38.8200,-106.5900,2926.1,89.0,0.3,HUC14
Park Reservoir,USCO,39.0500,-107.8700,3035.8,83.0,0.2,HUC14
Phantom Valley,USCO,40.4000,-105.8500,2752.3,94.0,-0.2,HUC14
Porphyry Creek,USCO,38.4900,-106.3400,3279.6,94.0,0.0,HUC14
Rabbit Ears,USCO,40.3700,-106.7400,2865.1,65.0,0.0,HUC14
Rawah,USCO,40.7100,-106.0100,2749.3,NaN,0.0,HUC10
Red Mountain Pass,USCO,37.8900,-107.7100,3413.8,94.0,0.0,HUC14
Ripple Creek,USCO,40.1100,-107.2900,3151.6,91.0,-0.3,HUC14
Roach,USCO,40.8800,-106.0500,2956.6,100.0,0.0,HUC10
Rough And Tumble,USCO,39.0300,-106.0800,3157.7,NaN,0.0,HUC10
Saint Elmo,USCO,38.7000,-106.3700,3212.6,NaN,0.0,HUC11
Sargents Mesa,USCO,38.2900,-106.3700,3514.3,NaN,-0.2,HUC13
Sawtooth,USCO,40.1400,-105.5900,2932.2,NaN,0.0,HUC10
Schofield Pass,USCO,39.0200,-107.0500,3261.4,88.0,0.4,HUC14
Scotch Creek,USCO,37.6500,-108.0100,2773.7,93.0,0.2,HUC14
Sharkstooth,USCO,37.5000,-108.1100,3267.5,NaN,0.3,HUC14
Slumgullion,USCO,37.9900,-107.2000,3523.5,96.0,0.0,HUC14
South Colony,USCO,37.9700,-105.5400,3291.8,122.0,0.0,HUC11
Spud Mountain,USCO,37.7000,-107.7800,3249.2,97.0,0.4,HUC14
Stillwater Creek,USCO,40.2300,-105.9200,2657.9,61.0,-0.2,HUC14
Stump Lakes,USCO,37.4800,-107.6300,3413.8,90.0,0.0,HUC14
Summit Ranch,USCO,39.7200,-106.1600,2865.1,82.0,0.3,HUC14
Tower,USCO,40.5400,-106.6800,3200.4,78.0,0.0,HUC14
Trapper Lake,USCO,40.0000,-107.2400,2956.6,47.0,0.0,HUC14
Trinchera,USCO,37.3500,-105.2300,3310.1,135.0,0.0,HUC13
University Camp,USCO,40.0300,-105.5800,3139.4,97.0,0.2,HUC10
Upper Rio Grande,USCO,37.7200,-107.2600,2865.1,133.0,0.0,HUC13
Upper San Juan,USCO,37.4900,-106.8400,3109.0,104.0,0.2,HUC14
Upper Taylor,USCO,38.9900,-106.7500,3243.1,NaN,0.0,HUC14
Ute Creek,USCO,37.6100,-105.3700,3246.1,NaN,0.2,HUC13
Vail Mountain,USCO,39.6200,-106.3800,3139.4,77.0,0.0,HUC14
Vallecito,USCO,37.4900,-107.5100,3316.2,100.0,0.0,HUC14
Wager Gulch,USCO,37.8800,-107.3600,3383.3,NaN,0.0,HUC14
Weminuche Creek,USCO,37.5200,-107.3200,3273.6,NaN,0.0,HUC14
Whiskey Ck,USCO,37.2100,-105.1200,3115.1,129.0,0.2,HUC11
Wild Basin,USCO,40.2000,-105.6000,2913.9,NaN,0.0,HUC10
Willow Creek Pass,USCO,40.3500,-106.0900,2907.8,95.0,0.0,HUC14
Willow Park,USCO,40.4300,-105.7300,3261.4,106.0,0.0,HUC10
Wolf Creek Summit,USCO,37.4800,-106.8000,3352.8,111.0,0.2,HUC13
Zirkel,USCO,40.7900,-106.6000,2846.8,NaN,-0.6,HUC10
Atlanta Summit,USID,43.7600,-115.2400,2310.4,86.0,0.0,HUC17
Banner Summit,USID,44.3000,-115.2300,2145.8,84.0,0.0,HUC17
Bear Basin,USID,44.9500,-116.1400,1630.7,109.0,0.0,HUC17
Bear Canyon,USID,43.7400,-113.9400,2407.9,64.0,0.0,HUC17
Bear Mountain,USID,48.3100,-116.0700,1645.9,85.0,0.0,HUC17
Bear Saddle,USID,44.6100,-116.9800,1883.7,101.0,0.0,HUC17
Big Creek Summit,USID,44.6300,-115.8000,1999.5,93.0,0.6,HUC17
Bogus Basin,USID,43.7600,-116.1000,1932.4,NaN,0.0,HUC17
Bostetter R.S.,USID,42.1600,-114.1900,2286.0,104.0,0.0,HUC17
Brundage Reservoir,USID,45.0400,-116.1300,1905.0,99.0,0.3,HUC17
Camas Creek Divide,USID,43.2700,-115.3500,1740.4,99.0,0.0,HUC17
Chocolate Gulch,USID,43.7700,-114.4200,1923.3,80.0,0.2,HUC17
Cool Creek,USID,46.7600,-115.3000,1914.1,99.0,0.0,HUC17
Cozy Cove,USID,44.2900,-115.6600,1645.9,102.0,0.0,HUC17
Crab Creek,USID,44.4400,-111.9900,2103.1,73.0,0.0,HUC17
Crater Meadows,USID,46.5600,-115.2900,1816.6,107.0,0.2,HUC17
Deadwood Summit,USID,44.5500,-115.5600,2090.9,81.0,0.0,HUC17
Dollarhide Summit,USID,43.6000,-114.6700,2566.4,94.0,0.0,HUC17
Elk Butte,USID,46.8400,-116.1200,1734.3,105.0,0.0,HUC17
Emigrant Summit,USID,42.3600,-111.5600,2252.5,73.0,0.2,HUC16
Franklin Basin,USID,42.0500,-111.6000,2481.1,74.0,-0.7,HUC16
Galena,USID,43.8800,-114.6700,2276.9,76.0,0.0,HUC17
Galena Summit,USID,43.8700,-114.7100,2676.1,78.0,0.2,HUC17
Garfield R.S.,USID,43.6100,-113.9300,1999.5,71.0,0.0,HUC17
Giveout,USID,42.4100,-111.1700,2112.3,80.0,0.0,HUC16
Graham Guard Sta.,USID,43.9500,-115.2700,1734.3,92.0,-0.2,HUC17
Hemlock Butte,USID,46.4800,-115.6300,1770.9,101.0,0.4,HUC17
Hidden Lake,USID,48.8900,-116.7600,1536.2,NaN,0.0,HUC17
Hilts Creek,USID,44.0200,-113.4700,2438.4,72.0,0.0,HUC17
Howell Canyon,USID,42.3200,-113.6200,2432.3,103.0,0.4,HUC17
Humboldt Gulch,USID,47.5300,-115.7800,1295.4,200.0,0.0,HUC17
Hyndman,USID,43.7100,-114.1600,2322.6,79.0,0.2,HUC17
Island Park,USID,44.4200,-111.3900,1917.2,95.0,0.0,HUC17
Jackson Peak,USID,44.0500,-115.4400,2154.9,91.0,0.0,HUC17
Lolo Pass,USID,46.6300,-114.5800,1597.2,95.0,0.0,HUC17
Long Valley,USID,44.7900,-116.0900,1490.5,NaN,0.4,HUC17
Lookout,USID,47.4600,-115.7000,1581.9,95.0,0.0,HUC17
Lost Lake,USID,47.0800,-115.9600,1862.3,93.0,0.0,HUC17
Lost-Wood Divide,USID,43.8200,-114.2600,2407.9,68.0,0.2,HUC17
Magic Mountain,USID,42.1800,-114.2900,2097.0,91.0,0.2,HUC17
Meadow Lake,USID,44.4400,-113.3200,2788.9,72.0,0.0,HUC17
Mica Creek,USID,47.1500,-116.2700,1374.6,112.0,-0.3,HUC17
Mill Creek Summit,USID,44.4700,-114.4900,2682.2,71.0,0.2,HUC17
Moonshine,USID,44.4100,-113.4000,2267.7,99.0,0.3,HUC17
Moose Creek,USID,45.6700,-113.9500,1889.8,109.0,0.3,HUC17
Mores Creek Summit,USID,43.9300,-115.6700,1859.3,91.0,0.0,HUC17
Morgan Creek,USID,44.8400,-114.2700,2316.5,85.0,0.3,HUC17
Moscow Mountain,USID,46.8100,-116.8500,1432.6,NaN,0.0,HUC17
Mosquito Ridge,USID,48.0600,-116.2300,1603.2,87.0,0.2,HUC17
Mountain Meadows,USID,45.7000,-115.2300,1926.3,114.0,0.0,HUC17
Mud Flat,USID,42.6000,-116.5600,1746.5,NaN,NaN,HUC17
Myrtle Creek,USID,48.7200,-116.4600,1072.9,NaN,0.0,HUC17
Oxford Spring,USID,42.2600,-112.1300,2054.4,52.0,-0.6,HUC16
Pierce R.S.,USID,46.5000,-115.8000,938.8,NaN,0.0,HUC17
Pine Creek Pass,USID,43.5700,-111.2100,2048.3,111.0,0.0,HUC17
Prairie,USID,43.5100,-115.5700,1463.0,NaN,-0.2,HUC17
Ragged Mountain,USID,47.8600,-117.0400,1283.2,NaN,0.2,HUC17
Reynolds Creek,USID,43.2900,-116.8400,1706.9,NaN,-0.8,HUC17
Savage Pass,USID,46.4700,-114.6300,1886.7,104.0,0.2,HUC17
Schwartz Lake,USID,44.8500,-113.8400,2630.4,87.0,0.3,HUC17
Schweitzer Basin,USID,48.3700,-116.6400,1856.2,94.0,0.0,HUC17
Secesh Summit,USID,45.1900,-115.9700,1993.4,90.0,0.0,HUC17
Sedgwick Peak,USID,42.5200,-111.9600,2392.7,77.0,0.0,HUC17
Shanghi Summit,USID,46.5700,-115.7400,1402.1,143.0,0.4,HUC17
Sheep Mtn.,USID,43.2100,-111.6900,2026.9,105.0,0.0,HUC17
Sherwin,USID,46.9500,-116.3400,975.4,136.0,0.0,HUC17
Slug Creek Divide,USID,42.5600,-111.3000,2202.2,99.0,-0.2,HUC17
Smiley Mountain,USID,43.7300,-113.8300,2901.7,NaN,0.0,HUC17
Soldier R.S.,USID,43.4800,-114.8300,1749.6,45.0,NaN,HUC17
Somsen Ranch,USID,42.9500,-111.3600,2072.6,88.0,0.0,HUC17
South Mtn.,USID,42.7600,-116.9000,1981.2,89.0,-0.6,HUC17
Squaw Flat,USID,44.7700,-116.2500,1902.0,71.0,0.0,HUC17
Stickney Mill,USID,43.8600,-114.2100,2264.7,69.0,0.2,HUC17
Sunset,USID,47.5600,-115.8200,1688.6,82.0,-0.2,HUC17
Swede Peak,USID,43.6300,-113.9700,2328.7,68.0,0.2,HUC17
Trinity Mtn.,USID,43.6300,-115.4400,2368.3,74.0,-0.2,HUC17
Van Wyck,USID,44.3800,-116.3400,1499.6,NaN,-0.3,HUC17
Vienna Mine,USID,43.8000,-114.8500,2731.0,82.0,0.0,HUC17
West Branch,USID,45.0700,-116.4500,1694.7,95.0,-0.2,HUC17
White Elephant,USID,44.5300,-111.4100,2350.0,73.0,0.2,HUC17
Wildhorse Divide,USID,42.7600,-112.4800,1978.2,72.0,0.0,HUC17
Wilson Creek,USID,42.0100,-115.0000,2170.2,118.0,0.0,HUC17
Albro Lake,USMT,45.6000,-111.9600,2529.8,84.0,0.0,HUC10
Badger Pass,USMT,48.1300,-113.0200,2103.1,101.0,0.0,HUC17
Banfield Mountain,USMT,48.5700,-115.4500,1706.9,83.0,0.0,HUC17
Barker Lakes,USMT,46.1000,-113.1300,2514.6,92.0,0.0,HUC17
Basin Creek,USMT,45.8000,-112.5200,2188.5,77.0,0.0,HUC17
Beagle Springs,USMT,44.4700,-112.9800,2697.5,74.0,0.0,HUC10
Beaver Creek,USMT,44.9500,-111.3600,2392.7,76.0,0.0,HUC10
Bisson Creek,USMT,47.6800,-114.0000,1499.6,92.0,0.0,HUC17
Black Bear,USMT,44.5100,-111.1300,2490.2,82.0,0.4,HUC10
Black Pine,USMT,46.4100,-113.4300,2197.6,115.0,0.0,HUC17
Blacktail Mtn,USMT,47.9800,-114.3500,1722.1,NaN,0.4,HUC17
Bloody Dick,USMT,45.1700,-113.5000,2316.5,89.0,-0.2,HUC10
Boulder Mountain,USMT,46.5600,-111.2900,2423.2,97.0,0.0,HUC10
Box Canyon,USMT,45.2700,-110.2500,2033.0,105.0,0.0,HUC10
Brackett Creek,USMT,45.8900,-110.9400,2231.1,98.0,0.0,HUC10
Burnt Mtn,USMT,45.2400,-109.4600,1792.2,NaN,0.0,HUC10
Calvert Creek,USMT,45.8800,-113.3300,1959.9,96.0,0.0,HUC10
Carrot Basin,USMT,44.9600,-111.2900,2743.2,86.0,0.0,HUC10
Clover Meadow,USMT,45.0200,-111.8500,2621.3,89.0,0.0,HUC10
Cole Creek,USMT,45.1900,-109.3500,2392.7,99.0,0.0,HUC10
Combination,USMT,46.4700,-113.3900,1706.9,132.0,0.0,HUC17
Copper Bottom,USMT,47.0600,-112.6000,1585.0,78.0,0.2,HUC17
Copper Camp,USMT,47.0800,-112.7300,2118.4,91.0,0.0,HUC17
Crystal Lake,USMT,46.7900,-109.5100,1844.0,93.0,0.0,HUC10
Daisy Peak,USMT,46.6700,-110.3300,2316.5,90.0,0.0,HUC10
Daly Creek,USMT,46.1800,-113.8500,1761.7,93.0,0.0,HUC17
Darkhorse Lake,USMT,45.1700,-113.5800,2726.4,98.0,0.0,HUC10
Deadman Creek,USMT,46.7900,-110.6800,1966.0,98.0,0.0,HUC10
Divide,USMT,44.7900,-112.0600,2377.4,69.0,0.0,HUC10
Dupuyer Creek,USMT,48.0600,-112.7600,1752.6,65.0,0.0,HUC10
East Boulder Mine,USMT,45.5000,-110.0800,1930.9,NaN,0.0,HUC10
Elk Peak,USMT,46.4800,-110.7100,2316.5,NaN,0.3,HUC10
Emery Creek,USMT,48.4300,-113.9400,1325.9,92.0,0.2,HUC17
Fisher Creek,USMT,45.0600,-109.9400,2773.7,95.0,0.0,HUC10
Flattop Mtn.,USMT,48.8000,-113.8600,1920.2,104.0,0.4,HUC17
Frohner Meadow,USMT,46.4400,-112.1900,1975.1,97.0,0.0,HUC10
Garver Creek,USMT,48.9800,-115.8200,1295.4,92.0,-0.2,HUC17
Grave Creek,USMT,48.9100,-114.7700,1310.6,81.0,-0.2,HUC17
Hand Creek,USMT,48.3100,-114.8400,1534.7,95.0,0.0,HUC17
Hawkins Lake,USMT,48.9700,-115.9500,1966.0,80.0,0.0,HUC17
Hoodoo Basin,USMT,46.9800,-115.0300,1844.0,88.0,NaN,HUC17
JL Meadow,USMT,44.7800,-113.1200,2682.2,NaN,0.0,HUC10
Kraft Creek,USMT,47.4300,-113.7800,1447.8,100.0,0.0,HUC17
Lakeview Ridge,USMT,44.5900,-111.8200,2255.5,75.0,0.0,HUC10
Lemhi Ridge,USMT,44.9900,-113.4400,2468.9,100.0,0.0,HUC10
Lick Creek,USMT,45.5000,-110.9700,2090.9,97.0,0.0,HUC10
Lone Mountain,USMT,45.2700,-111.4300,2706.6,100.0,0.0,HUC10
Lower Twin,USMT,45.5100,-111.9200,2407.9,86.0,0.0,HUC10
Lubrecht Flume,USMT,46.8800,-113.3200,1426.5,147.0,0.0,HUC17
Madison Plateau,USMT,44.5900,-111.1200,2362.2,87.0,0.0,HUC10
Many Glacier,USMT,48.8000,-113.6700,1493.5,84.0,0.0,N/A
Monument Peak,USMT,45.2200,-110.2400,2697.5,107.0,0.0,HUC10
Moss Peak,USMT,47.6800,-113.9600,2066.5,99.0,NaN,HUC17
Mount Lockhart,USMT,47.9200,-112.8200,1950.7,96.0,0.6,HUC10
Mule Creek,USMT,45.4100,-112.9600,2529.8,105.0,0.0,HUC10
N Fk Elk Creek,USMT,46.8700,-113.2800,1905.0,98.0,0.0,HUC17
Nevada Ridge,USMT,46.8400,-112.5100,2139.7,95.0,0.0,HUC17
Nez Perce Camp,USMT,45.7300,-114.4800,1722.1,130.0,0.0,HUC17
Noisy Basin,USMT,48.1600,-113.9500,1841.0,94.0,0.0,HUC17
North Fork Jocko,USMT,47.2700,-113.7600,1929.4,93.0,0.0,HUC17
Northeast Entrance,USMT,45.0100,-110.0100,2240.3,92.0,NaN,HUC10
Onion Park,USMT,46.9100,-110.8500,2258.6,NaN,0.0,HUC10
Peterson Meadows,USMT,46.1300,-113.3100,2194.6,93.0,0.0,HUC17
Pickfoot Creek,USMT,46.5800,-111.2700,2026.9,82.0,0.0,HUC10
Pike Creek,USMT,48.3000,-113.3300,1807.5,11.0,0.0,HUC10
Placer Basin,USMT,45.4200,-110.0900,2691.4,105.0,0.0,HUC10
Poorman Creek,USMT,48.1300,-115.6200,1554.5,86.0,0.0,HUC17
Porcupine,USMT,46.1100,-110.4700,1981.2,86.0,0.0,HUC10
Rocker Peak,USMT,46.3600,-112.2600,2438.4,111.0,0.0,HUC10
Rocky Boy,USMT,48.1700,-109.6500,1432.6,117.0,0.2,HUC10
S Fork Shields,USMT,46.0900,-110.4300,2468.9,80.0,0.0,HUC10
Sacajawea,USMT,45.8700,-110.9300,1996.4,NaN,0.0,HUC10
Saddle Mtn.,USID,45.6900,-113.9700,2420.1,100.0,0.2,HUC17
Short Creek,USMT,44.9800,-111.9500,2133.6,100.0,0.0,HUC10
Shower Falls,USMT,45.4000,-110.9600,2468.9,108.0,0.0,HUC10
Skalkaho Summit,USMT,46.2400,-113.7700,2209.8,99.0,0.0,HUC17
Sleeping Woman,USMT,47.1800,-114.3300,1874.5,96.0,0.0,HUC17
Spur Park,USMT,46.7800,-110.6200,2468.9,107.0,0.0,HUC10
Stahl Peak,USMT,48.9100,-114.8600,1837.9,82.0,1.1,HUC17
Stringer Creek,USMT,46.9300,-110.9000,1996.4,NaN,0.2,HUC10
Stuart Mountain,USMT,47.0000,-113.9300,2255.5,89.0,0.0,HUC17
Tepee Creek,USMT,44.7900,-111.7100,2438.4,85.0,0.0,HUC10
Tizer Basin,USMT,46.3500,-111.8500,2097.0,66.0,0.0,HUC10
Twelvemile Creek,USMT,46.1400,-114.4500,1706.9,119.0,NaN,HUC17
Twin Lakes,USMT,46.1400,-114.5100,1950.7,110.0,0.2,HUC17
Waldron,USMT,47.9200,-112.7900,1706.9,87.0,0.0,HUC10
Warm Springs,USMT,46.2700,-113.1600,2377.4,111.0,0.3,HUC17
