SnowToday Calculated SWE Summary Data : 2023-04-15
Column01 : site name
Column02 : latitude
Column03 : longitude
Column04 : elevation
Column05 : SWE (cm)
Column06 : percent of median long-term (25+yr) SWE on this date
Column07 : percent of long-term (25+yr) peak SWE
Column08 : daily change in SWE (cm)
Column09 : State
Column10 : HUC02
Column11 : HUC04
Name,Lat,Lon,Elev_m,SWE,normSWE,percentPeakSWE,dSWE,State,HUC02,HUC04
Fort Valley,35.2700,-111.7400,2240.3,0.0,NaN,NaN,0.0,USAZ,HUC15,NaN
Fry,35.0700,-111.8400,2194.6,14.0,NaN,NaN,-3.0,USAZ,HUC15,NaN
Hannagan Meadows,33.6500,-109.3100,2749.3,0.0,NaN,NaN,-3.3,USAZ,HUC15,NaN
Happy Jack,34.7500,-111.4100,2325.6,23.4,NaN,NaN,-2.3,USAZ,HUC15,NaN
Hawley Lake,33.9700,-109.7700,2529.8,22.9,NaN,NaN,-3.6,USAZ,HUC15,NaN
Heber,34.3100,-110.7500,2328.7,0.0,NaN,NaN,0.0,USAZ,HUC15,NaN
Maverick Fork,33.9200,-109.4600,2804.2,9.7,NaN,NaN,-2.0,USAZ,HUC15,NaN
Mormon Mountain,34.9400,-111.5200,2286.0,36.8,NaN,NaN,-3.6,USAZ,HUC15,NaN
Mormon Mtn Summit,34.9700,-111.5100,2590.8,57.9,NaN,NaN,-1.3,USAZ,HUC15,NaN
Nutrioso,33.9000,-109.1600,2590.8,0.0,NaN,NaN,0.0,USAZ,HUC15,NaN
Promontory,34.3700,-111.0100,2417.1,15.5,NaN,NaN,-2.0,USAZ,HUC15,NaN
Snowslide Canyon,35.3400,-111.6500,2965.7,84.3,275.0,175.0,-1.0,USAZ,HUC15,NaN
White Horse Lake,35.1400,-112.1500,2188.5,0.0,NaN,NaN,0.0,USAZ,HUC15,NaN
Wildcat,33.7600,-109.4800,2392.7,0.0,NaN,NaN,0.0,USAZ,HUC15,NaN
Workman Creek,33.8100,-110.9200,2103.1,0.0,NaN,NaN,0.0,USAZ,HUC15,NaN
Adin Mtn,41.2400,-120.7900,1886.7,55.6,413.0,160.0,-1.8,USCA,HUC18,NaN
Blue Lakes,38.6100,-119.9200,2458.8,186.4,282.0,231.0,0.0,USCA,HUC16,NaN
Burnside Lake,38.7200,-119.8900,2477.7,151.6,NaN,NaN,-0.8,USCA,HUC16,NaN
Carson Pass,38.6900,-120.0000,2548.1,169.9,NaN,NaN,-1.3,USCA,HUC18,NaN
Cedar Pass,41.5800,-120.3000,2142.7,68.6,191.0,139.0,-0.8,USCA,HUC18,NaN
Crowder Flat,41.8900,-120.7500,1575.8,0.0,NaN,NaN,0.0,USCA,HUC18,NaN
Css Lab,39.3300,-120.3700,2101.3,185.7,292.0,202.0,-2.3,USCA,HUC18,NaN
Dismal Swamp,41.9900,-120.1800,2243.3,113.3,168.0,144.0,0.0,USCA,HUC17,NaN
Ebbetts Pass,38.5500,-119.8000,2639.9,194.6,275.0,199.0,0.0,USCA,HUC16,NaN
Echo Peak,38.8500,-120.0800,2332.6,214.6,305.0,203.0,-1.8,USCA,HUC16,NaN
Fallen Leaf,38.9300,-120.0500,1902.6,35.0,NaN,NaN,-1.8,USCA,HUC16,NaN
Forestdale Creek,38.6800,-119.9600,2443.6,198.4,NaN,NaN,0.0,USCA,HUC16,NaN
Fredonyer Peak,40.6900,-120.6100,2197.0,54.4,NaN,NaN,0.0,USCA,HUC18,NaN
Hagans Meadow,38.8500,-119.9400,2359.8,124.5,772.0,272.0,-0.5,USCA,HUC16,NaN
Heavenly Valley,38.9200,-119.9200,2601.2,144.3,305.0,202.0,-0.8,USCA,HUC16,NaN
Horse Meadow,38.8400,-119.8900,2608.2,135.9,NaN,NaN,0.0,USCA,HUC16,NaN
Independence Camp,39.4500,-120.2900,2127.5,132.1,601.0,268.0,-1.0,USCA,HUC16,NaN
Independence Creek,39.4900,-120.2800,1961.7,57.9,456.0,157.0,0.0,USCA,HUC16,NaN
Independence Lake,39.4300,-120.3100,2541.4,191.0,174.0,165.0,0.0,USCA,HUC16,NaN
Leavitt Lake,38.2800,-119.6100,2927.3,297.9,210.0,192.0,0.0,USCA,HUC16,NaN
Leavitt Meadows,38.3000,-119.5500,2194.0,88.4,NaN,NaN,-0.5,USCA,HUC16,NaN
Lobdell Lake,38.4400,-119.3700,2819.1,131.8,478.0,283.0,0.0,USCA,HUC16,NaN
Monitor Pass,38.6700,-119.6100,2531.7,140.2,497.0,335.0,0.0,USCA,HUC16,NaN
Poison Flat,38.5100,-119.6300,2357.9,146.8,470.0,300.0,-0.5,USCA,HUC16,NaN
Rubicon #2,39.0000,-120.1300,2322.3,147.3,272.0,201.0,0.0,USCA,HUC16,NaN
Sonora Pass,38.3100,-119.6000,2673.1,145.0,271.0,210.0,0.0,USCA,HUC16,NaN
Spratt Creek,38.6700,-119.8200,1848.0,21.6,NaN,NaN,-2.8,USCA,HUC16,NaN
State Line,41.9900,-120.7200,1731.3,18.5,NaN,NaN,-0.8,USCA,HUC18,NaN
Summit Meadow,38.4000,-119.5400,2838.6,157.2,NaN,NaN,0.0,USCA,HUC16,NaN
Tahoe City Cross,39.1700,-120.1500,2071.7,76.0,NaN,NaN,-0.8,USCA,HUC16,NaN
Truckee #2,39.3000,-120.1800,1983.9,83.8,330.0,184.0,-1.3,USCA,HUC16,NaN
Virginia Lakes Ridge,38.0700,-119.2300,2865.1,134.9,352.0,274.0,0.0,USCA,HUC16,NaN
Ward Creek #3,39.1400,-120.2200,2055.9,175.3,259.0,189.0,0.0,USCA,HUC16,NaN
Apishapa,37.3300,-105.0700,3048.0,0.0,0.0,0.0,0.0,USCO,HUC11,NaN
Arapaho Ridge,40.3500,-106.3800,3340.6,64.0,NaN,NaN,2.3,USCO,HUC14,NaN
Bear Lake,40.3100,-105.6400,2895.6,55.4,120.0,105.0,1.3,USCO,HUC10,NaN
Bear River,40.0600,-107.0100,2767.6,30.0,NaN,NaN,1.5,USCO,HUC14,NaN
Beartown,37.7100,-107.5100,3535.7,76.7,135.0,119.0,1.8,USCO,HUC13,NaN
Beaver Ck Village,39.6000,-106.5100,2590.8,33.5,NaN,NaN,0.8,USCO,HUC14,NaN
Berthoud Summit,39.8000,-105.7800,3444.2,47.8,93.0,82.0,0.5,USCO,HUC14,NaN
Bison Lake,39.7600,-107.3600,3316.2,111.2,173.0,152.0,0.0,USCO,HUC14,NaN
Black Mesa,37.7900,-108.1800,3529.6,91.2,NaN,NaN,1.3,USCO,HUC14,NaN
Black Mountain,40.8900,-105.6600,2718.8,29.5,NaN,NaN,1.3,USCO,HUC10,NaN
Brumley,39.0900,-106.5400,3230.9,23.6,94.0,77.0,0.0,USCO,HUC11,NaN
Buckskin Joe,39.3000,-106.1100,3398.5,17.8,NaN,NaN,0.0,USCO,HUC10,NaN
Buffalo Park,40.2300,-106.6000,2816.4,39.1,114.0,106.0,1.3,USCO,HUC14,NaN
Burro Mountain,39.8800,-107.6000,2865.1,49.8,121.0,109.0,2.3,USCO,HUC14,NaN
Butte,38.8900,-106.9500,3096.8,50.8,152.0,128.0,0.0,USCO,HUC14,NaN
Cascade #2,37.6600,-107.8000,2718.8,37.6,NaN,NaN,0.5,USCO,HUC14,NaN
Cascade,37.6500,-107.8100,2706.6,NaN,NaN,NaN,NaN,USCO,HUC14,NaN
Chapman Tunnel,39.2600,-106.6300,3081.5,35.0,NaN,NaN,0.0,USCO,HUC14,NaN
Cochetopa Pass,38.1600,-106.6000,3054.1,8.9,NaN,NaN,0.0,USCO,HUC14,NaN
Columbine,40.3900,-106.6000,2792.0,69.1,124.0,106.0,-2.5,USCO,HUC10,NaN
Columbine Pass,38.4200,-108.3800,2865.1,107.7,348.0,229.0,-2.3,USCO,HUC14,NaN
Columbus Basin,37.4400,-108.0200,3287.3,94.2,157.0,146.0,0.0,USCO,HUC14,NaN
Copeland Lake,40.2100,-105.5700,2621.3,0.0,NaN,NaN,0.0,USCO,HUC10,NaN
Copper Mountain,39.4900,-106.1700,3215.6,36.3,96.0,85.0,0.0,USCO,HUC14,NaN
Crosho,40.1700,-107.0600,2773.7,32.5,129.0,102.0,1.5,USCO,HUC14,NaN
Culebra #2,37.2100,-105.2000,3200.4,30.0,96.0,83.0,0.0,USCO,HUC13,NaN
Cumbres Trestle,37.0200,-106.4500,3060.2,103.4,157.0,149.0,4.3,USCO,HUC13,NaN
Deadman Hill,40.8100,-105.7700,3115.1,49.5,107.0,91.0,1.8,USCO,HUC10,NaN
Dry Lake,40.5300,-106.7800,2560.3,75.2,155.0,128.0,0.0,USCO,HUC14,NaN
Echo Lake,39.6600,-105.5900,3230.9,15.8,83.0,66.0,0.8,USCO,HUC10,NaN
El Diente Peak,37.7900,-108.0200,3048.0,59.4,197.0,157.0,0.5,USCO,HUC14,NaN
Elk River,40.8500,-106.9700,2651.8,64.8,153.0,125.0,-0.8,USCO,HUC14,NaN
Elkhead Divide,40.8000,-107.1000,2676.1,77.2,NaN,NaN,-0.5,USCO,HUC14,NaN
Elliot Ridge,39.8600,-106.4200,3206.5,65.5,NaN,NaN,1.8,USCO,HUC14,NaN
Fool Creek,39.8700,-105.8700,3398.5,46.5,NaN,NaN,0.0,USCO,HUC14,NaN
Fremont Pass,39.3800,-106.2000,3474.7,37.6,88.0,73.0,0.0,USCO,HUC14,NaN
Glen Cove,38.8800,-105.0700,3493.0,0.0,NaN,NaN,0.0,USCO,HUC11,NaN
Grayback,37.4700,-106.5400,3541.8,5.3,NaN,NaN,-1.3,USCO,HUC13,NaN
Grizzly Peak,39.6500,-105.8700,3383.3,43.7,100.0,92.0,0.0,USCO,HUC14,NaN
Hayden Pass,38.2900,-105.8500,3267.5,11.4,NaN,NaN,-0.5,USCO,HUC13,NaN
High Lonesome,40.0400,-105.7500,3237.0,52.8,NaN,NaN,1.8,USCO,HUC14,NaN
Hoosier Pass,39.3600,-106.0600,3474.7,32.0,80.0,73.0,0.8,USCO,HUC10,NaN
Hourglass Lake,40.5800,-105.6300,2859.0,26.4,NaN,NaN,0.8,USCO,HUC10,NaN
Idarado,37.9300,-107.6800,2987.0,40.9,130.0,111.0,0.5,USCO,HUC14,NaN
Independence Pass,39.0800,-106.6100,3230.9,43.4,106.0,94.0,0.8,USCO,HUC14,NaN
Ivanhoe,39.2900,-106.5500,3169.9,45.7,113.0,102.0,0.8,USCO,HUC14,NaN
Jackwhacker Gulch,39.5700,-105.8000,3340.6,28.4,93.0,83.0,0.0,USCO,HUC10,NaN
Joe Wright,40.5300,-105.8900,3084.6,67.3,121.0,101.0,1.8,USCO,HUC10,NaN
Jones Pass,39.7600,-105.9100,3169.9,34.5,NaN,NaN,0.8,USCO,HUC14,NaN
Kiln,39.3200,-106.6100,2926.1,29.2,106.0,91.0,0.5,USCO,HUC14,NaN
Lake Eldora,39.9400,-105.5900,2956.6,24.6,94.0,72.0,1.3,USCO,HUC10,NaN
Lake Irene,40.4100,-105.8200,3261.4,67.1,110.0,96.0,1.3,USCO,HUC14,NaN
Lily Pond,37.3800,-106.5500,3352.8,50.3,157.0,128.0,0.0,USCO,HUC13,NaN
Lizard Head Pass,37.8000,-107.9200,3109.0,55.4,154.0,136.0,0.0,USCO,HUC14,NaN
Lone Cone,37.8900,-108.2000,2926.1,56.9,204.0,133.0,0.0,USCO,HUC14,NaN
Long Draw Resv,40.5100,-105.7700,3041.9,46.2,NaN,NaN,0.8,USCO,HUC10,NaN
Lost Dog,40.8200,-106.7500,2840.7,84.6,151.0,134.0,0.5,USCO,HUC14,NaN
Loveland Basin,39.6700,-105.9000,3474.7,44.2,88.0,74.0,0.5,USCO,HUC10,NaN
Lynx Pass,40.0800,-106.6700,2706.6,27.2,109.0,89.0,2.3,USCO,HUC14,NaN
Mancos,37.4300,-108.1700,3048.0,57.7,NaN,NaN,0.0,USCO,HUC14,NaN
Mc Clure Pass,39.1300,-107.2900,2895.6,67.8,188.0,149.0,2.0,USCO,HUC14,NaN
Mccoy Park,39.6000,-106.5400,2889.5,43.2,NaN,NaN,2.0,USCO,HUC14,NaN
Medano Pass,37.8500,-105.4400,2941.0,0.0,NaN,NaN,0.0,USCO,HUC13,NaN
Mesa Lakes,39.0600,-108.0600,3048.0,59.7,141.0,124.0,2.0,USCO,HUC14,NaN
Michigan Creek,39.4400,-105.9100,3230.9,21.8,83.0,69.0,0.5,USCO,HUC10,NaN
Middle Creek,37.6200,-107.0300,3429.0,60.5,131.0,119.0,0.5,USCO,HUC13,NaN
Middle Fork Camp,39.8000,-106.0300,2724.9,24.1,NaN,NaN,0.0,USCO,HUC14,NaN
Mineral Creek,37.8500,-107.7300,3060.2,44.2,119.0,108.0,0.5,USCO,HUC14,NaN
Molas Lake,37.7500,-107.6900,3200.4,70.6,135.0,136.0,1.0,USCO,HUC14,NaN
Moon Pass,37.9700,-106.5600,3395.5,5.3,NaN,NaN,-1.0,USCO,HUC13,NaN
Nast Lake,39.3000,-106.6100,2651.8,14.2,133.0,61.0,0.0,USCO,HUC14,NaN
Never Summer,40.4000,-105.9600,3133.3,67.8,NaN,NaN,2.3,USCO,HUC10,NaN
Niwot,40.0400,-105.5400,3020.6,31.8,102.0,86.0,1.8,USCO,HUC10,NaN
North Lost Trail,39.0800,-107.1400,2804.2,63.8,171.0,142.0,0.0,USCO,HUC14,NaN
Overland Res.,39.0900,-107.6300,2999.2,54.1,227.0,163.0,0.8,USCO,HUC14,NaN
Park Cone,38.8200,-106.5900,2926.1,36.3,149.0,131.0,-0.5,USCO,HUC14,NaN
Park Reservoir,39.0500,-107.8700,3035.8,125.0,190.0,162.0,3.6,USCO,HUC14,NaN
Phantom Valley,40.4000,-105.8500,2752.3,29.5,149.0,109.0,0.5,USCO,HUC14,NaN
Porphyry Creek,38.4900,-106.3400,3279.6,44.2,113.0,100.0,0.5,USCO,HUC14,NaN
Rabbit Ears,40.3700,-106.7400,2865.1,74.7,121.0,106.0,2.3,USCO,HUC14,NaN
Rawah,40.7100,-106.0100,2749.3,34.0,NaN,NaN,1.8,USCO,HUC10,NaN
Red Mountain Pass,37.8900,-107.7100,3413.8,76.2,127.0,112.0,1.5,USCO,HUC14,NaN
Ripple Creek,40.1100,-107.2900,3151.6,91.7,142.0,130.0,2.0,USCO,HUC14,NaN
Roach,40.8800,-106.0500,2956.6,45.0,109.0,94.0,1.3,USCO,HUC10,NaN
Rough And Tumble,39.0300,-106.0800,3157.7,9.7,62.0,49.0,0.0,USCO,HUC10,NaN
Saint Elmo,38.7000,-106.3700,3212.6,28.2,NaN,NaN,0.8,USCO,HUC11,NaN
Sargents Mesa,38.2900,-106.3700,3514.3,27.4,NaN,NaN,0.5,USCO,HUC13,NaN
Sawtooth,40.1400,-105.5900,2932.2,65.8,NaN,NaN,2.5,USCO,HUC10,NaN
Schofield Pass,39.0200,-107.0500,3261.4,126.0,147.0,134.0,1.5,USCO,HUC14,NaN
Scotch Creek,37.6500,-108.0100,2773.7,51.3,374.0,166.0,0.0,USCO,HUC14,NaN
Sharkstooth,37.5000,-108.1100,3267.5,91.7,NaN,NaN,0.5,USCO,HUC14,NaN
Slumgullion,37.9900,-107.2000,3523.5,34.3,97.0,91.0,1.3,USCO,HUC14,NaN
South Colony,37.9700,-105.5400,3291.8,46.0,95.0,90.0,0.8,USCO,HUC11,NaN
Spud Mountain,37.7000,-107.7800,3249.2,100.8,186.0,157.0,1.0,USCO,HUC14,NaN
Stillwater Creek,40.2300,-105.9200,2657.9,18.0,222.0,83.0,0.0,USCO,HUC14,NaN
Stump Lakes,37.4800,-107.6300,3413.8,70.4,163.0,143.0,0.0,USCO,HUC14,NaN
Summit Ranch,39.7200,-106.1600,2865.1,27.2,101.0,89.0,0.5,USCO,HUC14,NaN
Tower,40.5400,-106.6800,3200.4,132.8,111.0,104.0,0.0,USCO,HUC14,NaN
Trapper Lake,40.0000,-107.2400,2956.6,17.5,42.0,37.0,2.0,USCO,HUC14,NaN
Trinchera,37.3500,-105.2300,3310.1,20.6,87.0,74.0,-0.5,USCO,HUC13,NaN
University Camp,40.0300,-105.5800,3139.4,42.9,100.0,83.0,2.8,USCO,HUC10,NaN
Upper Rio Grande,37.7200,-107.2600,2865.1,17.0,NaN,NaN,1.0,USCO,HUC13,NaN
Upper San Juan,37.4900,-106.8400,3109.0,116.8,146.0,141.0,0.5,USCO,HUC14,NaN
Upper Taylor,38.9900,-106.7500,3243.1,47.0,NaN,NaN,0.0,USCO,HUC14,NaN
Ute Creek,37.6100,-105.3700,3246.1,17.8,NaN,NaN,0.0,USCO,HUC13,NaN
Vail Mountain,39.6200,-106.3800,3139.4,49.0,100.0,82.0,0.0,USCO,HUC14,NaN
Vallecito,37.4900,-107.5100,3316.2,62.5,191.0,143.0,0.8,USCO,HUC14,NaN
Wager Gulch,37.8800,-107.3600,3383.3,24.9,NaN,NaN,0.0,USCO,HUC14,NaN
Weminuche Creek,37.5200,-107.3200,3273.6,74.7,NaN,NaN,0.8,USCO,HUC14,NaN
Whiskey Ck,37.2100,-105.1200,3115.1,15.8,73.0,53.0,-1.0,USCO,HUC11,NaN
Wild Basin,40.2000,-105.6000,2913.9,47.0,NaN,NaN,0.8,USCO,HUC10,NaN
Willow Creek Pass,40.3500,-106.0900,2907.8,48.3,139.0,120.0,2.0,USCO,HUC14,NaN
Willow Park,40.4300,-105.7300,3261.4,55.9,115.0,103.0,0.5,USCO,HUC10,NaN
Wolf Creek Summit,37.4800,-106.8000,3352.8,122.7,150.0,146.0,0.0,USCO,HUC13,NaN
Zirkel,40.7900,-106.6000,2846.8,82.5,NaN,NaN,1.0,USCO,HUC10,NaN
Atlanta Summit,43.7600,-115.2400,2310.4,99.6,145.0,132.0,0.0,USID,HUC17,NaN
Banner Summit,44.3000,-115.2300,2145.8,78.0,123.0,116.0,0.0,USID,HUC17,NaN
Bear Basin,44.9500,-116.1400,1630.7,49.5,125.0,109.0,0.0,USID,HUC17,NaN
Bear Canyon,43.7400,-113.9400,2407.9,48.3,145.0,120.0,0.8,USID,HUC17,NaN
Bear Mountain,48.3100,-116.0700,1645.9,99.6,73.0,67.0,0.0,USID,HUC17,NaN
Bear Saddle,44.6100,-116.9800,1883.7,88.9,199.0,151.0,0.0,USID,HUC17,NaN
Big Creek Summit,44.6300,-115.8000,1999.5,84.6,108.0,102.0,0.0,USID,HUC17,NaN
Bogus Basin,43.7600,-116.1000,1932.4,95.0,NaN,NaN,0.0,USID,HUC17,NaN
Bostetter R.S.,42.1600,-114.1900,2286.0,62.0,188.0,131.0,-0.5,USID,HUC17,NaN
Brundage Reservoir,45.0400,-116.1300,1905.0,84.1,120.0,113.0,0.0,USID,HUC17,NaN
Camas Creek Divide,43.2700,-115.3500,1740.4,53.9,NaN,NaN,-0.5,USID,HUC17,NaN
Chocolate Gulch,43.7700,-114.4200,1923.3,46.5,194.0,151.0,0.0,USID,HUC17,NaN
Cool Creek,46.7600,-115.3000,1914.1,109.2,95.0,89.0,0.0,USID,HUC17,NaN
Cozy Cove,44.2900,-115.6600,1645.9,48.0,201.0,128.0,0.0,USID,HUC17,NaN
Crab Creek,44.4400,-111.9900,2103.1,47.2,157.0,130.0,0.0,USID,HUC17,NaN
Crater Meadows,46.5600,-115.2900,1816.6,121.9,105.0,100.0,0.0,USID,HUC17,NaN
Deadwood Summit,44.5500,-115.5600,2090.9,107.2,102.0,96.0,0.0,USID,HUC17,NaN
Dollarhide Summit,43.6000,-114.6700,2566.4,85.3,141.0,127.0,0.0,USID,HUC17,NaN
Elk Butte,46.8400,-116.1200,1734.3,89.9,104.0,94.0,0.0,USID,HUC17,NaN
Emigrant Summit,42.3600,-111.5600,2252.5,100.3,183.0,162.0,0.0,USID,HUC16,NaN
Franklin Basin,42.0500,-111.6000,2481.1,113.8,167.0,150.0,-0.5,USID,HUC16,NaN
Galena,43.8800,-114.6700,2276.9,52.8,136.0,121.0,0.0,USID,HUC17,NaN
Galena Summit,43.8700,-114.7100,2676.1,65.8,135.0,120.0,0.0,USID,HUC17,NaN
Garfield R.S.,43.6100,-113.9300,1999.5,37.9,392.0,149.0,0.0,USID,HUC17,NaN
Giveout,42.4100,-111.1700,2112.3,38.9,268.0,150.0,0.0,USID,HUC16,NaN
Graham Guard Sta.,43.9500,-115.2700,1734.3,38.4,194.0,111.0,0.0,USID,HUC17,NaN
Hemlock Butte,46.4800,-115.6300,1770.9,141.5,123.0,119.0,0.0,USID,HUC17,NaN
Hidden Lake,48.8900,-116.7600,1536.2,76.0,NaN,NaN,0.0,USID,HUC17,NaN
Hilts Creek,44.0200,-113.4700,2438.4,47.2,159.0,135.0,0.5,USID,HUC17,NaN
Howell Canyon,42.3200,-113.6200,2432.3,85.1,137.0,121.0,0.0,USID,HUC17,NaN
Humboldt Gulch,47.5300,-115.7800,1295.4,41.1,212.0,125.0,0.0,USID,HUC17,NaN
Hyndman,43.7100,-114.1600,2322.6,43.2,181.0,135.0,0.0,USID,HUC17,NaN
Island Park,44.4200,-111.3900,1917.2,50.5,162.0,129.0,0.5,USID,HUC17,NaN
Jackson Peak,44.0500,-115.4400,2154.9,82.5,121.0,113.0,0.0,USID,HUC17,NaN
Lolo Pass,46.6300,-114.5800,1597.2,57.7,90.0,81.0,0.0,USID,HUC17,NaN
Long Valley,44.7900,-116.0900,1490.5,19.8,NaN,NaN,0.0,USID,HUC17,NaN
Lookout,47.4600,-115.7000,1581.9,62.2,98.0,87.0,0.0,USID,HUC17,NaN
Lost Lake,47.0800,-115.9600,1862.3,128.0,96.0,91.0,0.0,USID,HUC17,NaN
Lost-Wood Divide,43.8200,-114.2600,2407.9,67.1,155.0,124.0,0.8,USID,HUC17,NaN
