SnowToday Calculated SWE Summary Data : 2023-05-08
Column01 : site name
Column02 : latitude
Column03 : longitude
Column04 : elevation
Column05 : SWE (inches)
Column06 : percent of median long-term (25+yr) SWE
Column07 : daily change in SWE (inches)
Column08 : State
Column09 : HUC02
Column10 : HUC04
Name,Lat,Lon,Elev_m,SWE,normSWE,dSWE,State,HUC02,HUC04
Dry Lake,40.5300,-106.7800,2560.3,43.8,170.0,-0.3,USCO,HUC14,1405
Echo Lake,39.6600,-105.5900,3230.9,47.1,NaN,0.0,USCO,HUC10,1019
El Diente Peak,37.7900,-108.0200,3048.0,33.5,NaN,0.2,USCO,HUC14,1403
Elk River,40.8500,-106.9700,2651.8,10.1,165.0,-0.6,USCO,HUC14,1405
Elkhead Divide,40.8000,-107.1000,2676.1,78.1,NaN,-0.3,USCO,HUC14,1405
Elliot Ridge,39.8600,-106.4200,3206.5,114.0,NaN,0.0,USCO,HUC14,1401
Fool Creek,39.8700,-105.8700,3398.5,17.4,NaN,0.0,USCO,HUC14,1401
Fremont Pass,39.3800,-106.2000,3474.7,42.4,86.0,0.0,USCO,HUC14,1401
Glen Cove,38.8800,-105.0700,3493.0,46.9,NaN,NaN,USCO,HUC11,1102
Grayback,37.4700,-106.5400,3541.8,50.5,NaN,0.0,USCO,HUC13,1301
Grizzly Peak,39.6500,-105.8700,3383.3,54.3,99.0,-0.4,USCO,HUC14,1401
Hayden Pass,38.2900,-105.8500,3267.5,55.8,NaN,0.0,USCO,HUC13,1301
High Lonesome,40.0400,-105.7500,3237.0,0.0,NaN,0.0,USCO,HUC14,1401
Hoosier Pass,39.3600,-106.0600,3474.7,0.0,87.0,0.0,USCO,HUC10,1019
Hourglass Lake,40.5800,-105.6300,2859.0,56.2,NaN,-1.3,USCO,HUC10,1019
Idarado,37.9300,-107.6800,2987.0,15.3,163.0,-0.3,USCO,HUC14,1402
Independence Pass,39.0800,-106.6100,3230.9,16.0,97.0,0.0,USCO,HUC14,1401
Ivanhoe,39.2900,-106.5500,3169.9,48.7,105.0,0.0,USCO,HUC14,1401
Jackwhacker Gulch,39.5700,-105.8000,3340.6,58.1,NaN,-0.3,USCO,HUC10,1019
Joe Wright,40.5300,-105.8900,3084.6,NaN,108.0,0.3,USCO,HUC10,1019
Jones Pass,39.7600,-105.9100,3169.9,25.4,NaN,-0.6,USCO,HUC14,1401
Kiln,39.3200,-106.6100,2926.1,17.3,0.0,-1.6,USCO,HUC14,1401
Lake Eldora,39.9400,-105.5900,2956.6,9.4,55.0,-1.0,USCO,HUC10,1019
Lake Irene,40.4100,-105.8200,3261.4,26.7,104.0,0.0,USCO,HUC14,1401
Lily Pond,37.3800,-106.5500,3352.8,6.2,105.0,-1.1,USCO,HUC13,1301
Lizard Head Pass,37.8000,-107.9200,3109.0,18.1,172.0,0.3,USCO,HUC14,1403
Lone Cone,37.8900,-108.2000,2926.1,43.0,NaN,-1.1,USCO,HUC14,1403
Long Draw Resv,40.5100,-105.7700,3041.9,36.4,NaN,-0.5,USCO,HUC10,1019
Lost Dog,40.8200,-106.7500,2840.7,6.7,NaN,0.0,USCO,HUC14,1405
Loveland Basin,39.6700,-105.9000,3474.7,6.2,77.0,-0.2,USCO,HUC10,1019
Lynx Pass,40.0800,-106.6700,2706.6,7.5,NaN,NaN,USCO,HUC14,1401
Mancos,37.4300,-108.1700,3048.0,12.5,NaN,-0.9,USCO,HUC14,1408
Mc Clure Pass,39.1300,-107.2900,2895.6,12.6,NaN,0.0,USCO,HUC14,1402
Mccoy Park,39.6000,-106.5400,2889.5,12.5,NaN,0.0,USCO,HUC14,1401
Medano Pass,37.8500,-105.4400,2941.0,NaN,NaN,0.0,USCO,HUC13,1301
Mesa Lakes,39.0600,-108.0600,3048.0,NaN,158.0,0.0,USCO,HUC14,1401
Michigan Creek,39.4400,-105.9100,3230.9,9.0,NaN,-0.4,USCO,HUC10,1019
Middle Creek,37.6200,-107.0300,3429.0,NaN,132.0,-0.3,USCO,HUC13,1301
Middle Fork Camp,39.8000,-106.0300,2724.9,16.7,NaN,0.0,USCO,HUC14,1401
Mineral Creek,37.8500,-107.7300,3060.2,22.3,136.0,-0.5,USCO,HUC14,1408
Molas Lake,37.7500,-107.6900,3200.4,31.0,190.0,-0.3,USCO,HUC14,1408
Moon Pass,37.9700,-106.5600,3395.5,0.0,NaN,0.0,USCO,HUC13,1301
Nast Lake,39.3000,-106.6100,2651.8,12.3,NaN,0.0,USCO,HUC14,1401
Never Summer,40.4000,-105.9600,3133.3,4.7,NaN,0.2,USCO,HUC10,1018
Niwot,40.0400,-105.5400,3020.6,0.0,92.0,-0.5,USCO,HUC10,1019
North Lost Trail,39.0800,-107.1400,2804.2,28.4,308.0,0.0,USCO,HUC14,1401
Overland Res.,39.0900,-107.6300,2999.2,18.9,NaN,0.2,USCO,HUC14,1402
Park Cone,38.8200,-106.5900,2926.1,18.0,423.0,-0.3,USCO,HUC14,1402
Park Reservoir,39.0500,-107.8700,3035.8,6.8,170.0,0.0,USCO,HUC14,1402
Phantom Valley,40.4000,-105.8500,2752.3,16.6,265.0,-0.3,USCO,HUC14,1401
Porphyry Creek,38.4900,-106.3400,3279.6,14.7,135.0,0.0,USCO,HUC14,1402
Rabbit Ears,40.3700,-106.7400,2865.1,20.7,106.0,0.0,USCO,HUC14,1405
Rawah,40.7100,-106.0100,2749.3,25.7,NaN,0.0,USCO,HUC10,1018
Red Mountain Pass,37.8900,-107.7100,3413.8,18.2,126.0,0.2,USCO,HUC14,1408
Ripple Creek,40.1100,-107.2900,3151.6,16.3,132.0,0.4,USCO,HUC14,1405
Roach,40.8800,-106.0500,2956.6,NaN,93.0,-0.3,USCO,HUC10,1018
Rough And Tumble,39.0300,-106.0800,3157.7,0.0,NaN,0.0,USCO,HUC10,1019
Saint Elmo,38.7000,-106.3700,3212.6,14.7,NaN,-0.4,USCO,HUC11,1102
Sargents Mesa,38.2900,-106.3700,3514.3,0.0,NaN,-0.3,USCO,HUC13,1301
Sawtooth,40.1400,-105.5900,2932.2,15.2,NaN,-0.5,USCO,HUC10,1019
Schofield Pass,39.0200,-107.0500,3261.4,12.7,160.0,0.3,USCO,HUC14,1401
Scotch Creek,37.6500,-108.0100,2773.7,2.9,NaN,-0.8,USCO,HUC14,1403
Sharkstooth,37.5000,-108.1100,3267.5,8.0,NaN,0.4,USCO,HUC14,1403
Slumgullion,37.9900,-107.2000,3523.5,11.6,36.0,-0.7,USCO,HUC14,1402
South Colony,37.9700,-105.5400,3291.8,14.8,83.0,-0.3,USCO,HUC11,1102
Spud Mountain,37.7000,-107.7800,3249.2,8.1,229.0,0.0,USCO,HUC14,1408
Stillwater Creek,40.2300,-105.9200,2657.9,24.5,NaN,NaN,USCO,HUC14,1401
Stump Lakes,37.4800,-107.6300,3413.8,7.8,115.0,-0.2,USCO,HUC14,1408
Summit Ranch,39.7200,-106.1600,2865.1,0.0,0.0,0.0,USCO,HUC14,1401
Tower,40.5400,-106.6800,3200.4,2.4,110.0,0.5,USCO,HUC14,1405
Trapper Lake,40.0000,-107.2400,2956.6,23.9,10.0,-0.2,USCO,HUC14,1405
Trinchera,37.3500,-105.2300,3310.1,7.9,NaN,0.0,USCO,HUC13,1301
University Camp,40.0300,-105.5800,3139.4,13.9,98.0,-0.2,USCO,HUC10,1019
Upper Rio Grande,37.7200,-107.2600,2865.1,3.3,NaN,0.0,USCO,HUC13,1301
Upper San Juan,37.4900,-106.8400,3109.0,14.1,144.0,-0.6,USCO,HUC14,1408
Upper Taylor,38.9900,-106.7500,3243.1,24.9,NaN,-0.3,USCO,HUC14,1402
Ute Creek,37.6100,-105.3700,3246.1,16.5,NaN,0.0,USCO,HUC13,1301
Vail Mountain,39.6200,-106.3800,3139.4,NaN,66.0,-0.2,USCO,HUC14,1401
Vallecito,37.4900,-107.5100,3316.2,10.4,NaN,0.2,USCO,HUC14,1408
Wager Gulch,37.8800,-107.3600,3383.3,16.0,NaN,-0.8,USCO,HUC14,1402
Weminuche Creek,37.5200,-107.3200,3273.6,10.9,NaN,-1.0,USCO,HUC14,1408
Whiskey Ck,37.2100,-105.1200,3115.1,0.0,NaN,0.0,USCO,HUC11,1102
Wild Basin,40.2000,-105.6000,2913.9,19.8,NaN,-0.8,USCO,HUC10,1019
Willow Creek Pass,40.3500,-106.0900,2907.8,6.8,123.0,0.0,USCO,HUC14,1401
Willow Park,40.4300,-105.7300,3261.4,20.9,114.0,-0.3,USCO,HUC10,1019
Wolf Creek Summit,37.4800,-106.8000,3352.8,0.0,113.0,-0.7,USCO,HUC13,1301
Zirkel,40.7900,-106.6000,2846.8,10.0,NaN,-0.7,USCO,HUC10,1018
Atlanta Summit,43.7600,-115.2400,2310.4,20.3,152.0,0.0,USID,HUC17,1705
Banner Summit,44.3000,-115.2300,2145.8,0.0,123.0,0.0,USID,HUC17,1705
Bear Basin,44.9500,-116.1400,1630.7,0.0,156.0,0.0,USID,HUC17,1706
Bear Canyon,43.7400,-113.9400,2407.9,27.0,148.0,0.0,USID,HUC17,1704
Bear Mountain,48.3100,-116.0700,1645.9,9.8,66.0,-1.1,USID,HUC17,1701
Bear Saddle,44.6100,-116.9800,1883.7,16.0,433.0,0.0,USID,HUC17,1705
Big Creek Summit,44.6300,-115.8000,1999.5,16.7,NaN,NaN,USID,HUC17,1705
Bogus Basin,43.7600,-116.1000,1932.4,9.3,NaN,0.6,USID,HUC17,1705
Bostetter R.S.,42.1600,-114.1900,2286.0,44.3,262.0,-0.3,USID,HUC17,1704
Brundage Reservoir,45.0400,-116.1300,1905.0,5.3,124.0,0.0,USID,HUC17,1706
Camas Creek Divide,43.2700,-115.3500,1740.4,16.0,NaN,-1.0,USID,HUC17,1704
Chocolate Gulch,43.7700,-114.4200,1923.3,22.4,NaN,-0.2,USID,HUC17,1704
Cool Creek,46.7600,-115.3000,1914.1,7.9,83.0,-0.4,USID,HUC17,1706
Cozy Cove,44.2900,-115.6600,1645.9,27.8,NaN,-0.2,USID,HUC17,1705
Crab Creek,44.4400,-111.9900,2103.1,32.7,NaN,NaN,USID,HUC17,1704
Crater Meadows,46.5600,-115.2900,1816.6,14.2,105.0,-0.5,USID,HUC17,1706
Deadwood Summit,44.5500,-115.5600,2090.9,2.3,115.0,-0.4,USID,HUC17,1706
Dollarhide Summit,43.6000,-114.6700,2566.4,5.0,151.0,0.5,USID,HUC17,1704
Elk Butte,46.8400,-116.1200,1734.3,10.0,85.0,-0.3,USID,HUC17,1706
Emigrant Summit,42.3600,-111.5600,2252.5,24.4,287.0,-0.3,USID,HUC16,1601
Franklin Basin,42.0500,-111.6000,2481.1,47.0,230.0,0.0,USID,HUC16,1601
Galena,43.8800,-114.6700,2276.9,3.4,157.0,0.2,USID,HUC17,1704
Galena Summit,43.8700,-114.7100,2676.1,28.2,135.0,0.0,USID,HUC17,1704
Garfield R.S.,43.6100,-113.9300,1999.5,4.2,NaN,-0.2,USID,HUC17,1704
Giveout,42.4100,-111.1700,2112.3,13.4,NaN,-0.4,USID,HUC16,1601
Graham Guard Sta.,43.9500,-115.2700,1734.3,28.4,NaN,-0.9,USID,HUC17,1705
Hemlock Butte,46.4800,-115.6300,1770.9,NaN,117.0,-0.8,USID,HUC17,1706
Hidden Lake,48.8900,-116.7600,1536.2,18.3,NaN,-0.7,USID,HUC17,1701
Hilts Creek,44.0200,-113.4700,2438.4,0.0,190.0,0.0,USID,HUC17,1704
Howell Canyon,42.3200,-113.6200,2432.3,54.9,168.0,0.2,USID,HUC17,1704
Humboldt Gulch,47.5300,-115.7800,1295.4,1.1,NaN,0.0,USID,HUC17,1701
Hyndman,43.7100,-114.1600,2322.6,0.0,NaN,0.0,USID,HUC17,1704
Island Park,44.4200,-111.3900,1917.2,18.2,NaN,0.3,USID,HUC17,1704
Jackson Peak,44.0500,-115.4400,2154.9,0.0,139.0,0.7,USID,HUC17,1705
Lolo Pass,46.6300,-114.5800,1597.2,34.1,78.0,-0.6,USID,HUC17,1706
Long Valley,44.7900,-116.0900,1490.5,12.0,NaN,NaN,USID,HUC17,1705
Lookout,47.4600,-115.7000,1581.9,0.0,61.0,-0.4,USID,HUC17,1701
Lost Lake,47.0800,-115.9600,1862.3,12.4,92.0,0.0,USID,HUC17,1706
Lost-Wood Divide,43.8200,-114.2600,2407.9,16.0,179.0,0.4,USID,HUC17,1704
Magic Mountain,42.1800,-114.2900,2097.0,3.2,283.0,0.0,USID,HUC17,1704
Meadow Lake,44.4400,-113.3200,2788.9,14.3,116.0,0.0,USID,HUC17,1706
Mica Creek,47.1500,-116.2700,1374.6,0.0,158.0,NaN,USID,HUC17,1701
Mill Creek Summit,44.4700,-114.4900,2682.2,16.5,101.0,0.0,USID,HUC17,1706
Moonshine,44.4100,-113.4000,2267.7,17.5,NaN,0.0,USID,HUC17,1704
Moose Creek,45.6700,-113.9500,1889.8,20.6,112.0,-0.4,USID,HUC17,1706
Mores Creek Summit,43.9300,-115.6700,1859.3,36.7,135.0,0.0,USID,HUC17,1705
Morgan Creek,44.8400,-114.2700,2316.5,22.1,NaN,0.0,USID,HUC17,1706
Moscow Mountain,46.8100,-116.8500,1432.6,34.6,NaN,0.0,USID,HUC17,1706
Mosquito Ridge,48.0600,-116.2300,1603.2,22.7,65.0,-0.6,USID,HUC17,1701
Mountain Meadows,45.7000,-115.2300,1926.3,14.7,113.0,-0.2,USID,HUC17,1706
Mud Flat,42.6000,-116.5600,1746.5,13.8,NaN,NaN,USID,HUC17,1705
Myrtle Creek,48.7200,-116.4600,1072.9,34.4,NaN,0.0,USID,HUC17,1701
Oxford Spring,42.2600,-112.1300,2054.4,30.3,NaN,-0.3,USID,HUC16,1601
Pierce R.S.,46.5000,-115.8000,938.8,NaN,NaN,NaN,USID,HUC17,1706
Pine Creek Pass,43.5700,-111.2100,2048.3,28.3,NaN,0.0,USID,HUC17,1704
Prairie,43.5100,-115.5700,1463.0,13.6,NaN,NaN,USID,HUC17,1705
Ragged Mountain,47.8600,-117.0400,1283.2,22.9,NaN,-0.8,USID,HUC17,1701
Reynolds Creek,43.2900,-116.8400,1706.9,5.0,NaN,NaN,USID,HUC17,1705
Savage Pass,46.4700,-114.6300,1886.7,11.4,86.0,0.0,USID,HUC17,1706
Schwartz Lake,44.8500,-113.8400,2630.4,37.1,NaN,NaN,USID,HUC17,1706
Schweitzer Basin,48.3700,-116.6400,1856.2,7.4,97.0,-0.4,USID,HUC17,1701
Secesh Summit,45.1900,-115.9700,1993.4,NaN,111.0,0.0,USID,HUC17,1706
Sedgwick Peak,42.5200,-111.9600,2392.7,41.3,393.0,0.0,USID,HUC17,1704
Shanghi Summit,46.5700,-115.7400,1402.1,39.7,103.0,-1.2,USID,HUC17,1706
Sheep Mtn.,43.2100,-111.6900,2026.9,30.8,NaN,0.0,USID,HUC17,1704
Sherwin,46.9500,-116.3400,975.4,23.4,NaN,0.0,USID,HUC17,1701
Slug Creek Divide,42.5600,-111.3000,2202.2,32.1,NaN,NaN,USID,HUC17,1704
Smiley Mountain,43.7300,-113.8300,2901.7,42.3,NaN,0.0,USID,HUC17,1704
Soldier R.S.,43.4800,-114.8300,1749.6,15.9,NaN,0.0,USID,HUC17,1704
Somsen Ranch,42.9500,-111.3600,2072.6,22.0,NaN,-0.2,USID,HUC17,1704
South Mtn.,42.7600,-116.9000,1981.2,4.8,NaN,0.0,USID,HUC17,1705
Stickney Mill,43.8600,-114.2100,2264.7,7.8,NaN,-0.3,USID,HUC17,1704
Sunset,47.5600,-115.8200,1688.6,1.7,48.0,-0.3,USID,HUC17,1701
Swede Peak,43.6300,-113.9700,2328.7,45.1,286.0,0.0,USID,HUC17,1704
Trinity Mtn.,43.6300,-115.4400,2368.3,18.3,130.0,0.0,USID,HUC17,1705
Van Wyck,44.3800,-116.3400,1499.6,15.8,NaN,0.0,USID,HUC17,1705
Vienna Mine,43.8000,-114.8500,2731.0,31.5,124.0,0.4,USID,HUC17,1706
West Branch,45.0700,-116.4500,1694.7,6.8,175.0,0.0,USID,HUC17,1705
White Elephant,44.5300,-111.4100,2350.0,10.9,148.0,0.4,USID,HUC17,1704
Wildhorse Divide,42.7600,-112.4800,1978.2,12.0,NaN,NaN,USID,HUC17,1704
Wilson Creek,42.0100,-115.0000,2170.2,28.2,NaN,-0.3,USID,HUC17,1704
Albro Lake,45.6000,-111.9600,2529.8,11.3,107.0,-0.3,USMT,HUC10,1002
Badger Pass,48.1300,-113.0200,2103.1,NaN,85.0,0.0,USMT,HUC17,1701
Banfield Mountain,48.5700,-115.4500,1706.9,11.3,38.0,-0.5,USMT,HUC17,1701
Barker Lakes,46.1000,-113.1300,2514.6,46.2,108.0,0.2,USMT,HUC17,1701
Basin Creek,45.8000,-112.5200,2188.5,20.6,NaN,NaN,USMT,HUC17,1701
Beagle Springs,44.4700,-112.9800,2697.5,21.5,134.0,-0.3,USMT,HUC10,1002
Beaver Creek,44.9500,-111.3600,2392.7,17.1,115.0,0.0,USMT,HUC10,1002
Bisson Creek,47.6800,-114.0000,1499.6,11.5,NaN,NaN,USMT,HUC17,1701
Black Bear,44.5100,-111.1300,2490.2,20.5,123.0,0.6,USMT,HUC10,1002
Black Pine,46.4100,-113.4300,2197.6,8.6,93.0,0.2,USMT,HUC17,1701
Blacktail Mtn,47.9800,-114.3500,1722.1,6.5,NaN,0.0,USMT,HUC17,1701
Bloody Dick,45.1700,-113.5000,2316.5,24.3,135.0,0.0,USMT,HUC10,1002
Boulder Mountain,46.5600,-111.2900,2423.2,8.2,100.0,0.0,USMT,HUC10,1003
Box Canyon,45.2700,-110.2500,2033.0,0.0,NaN,0.0,USMT,HUC10,1007
Brackett Creek,45.8900,-110.9400,2231.1,17.8,81.0,-0.3,USMT,HUC10,1007
Burnt Mtn,45.2400,-109.4600,1792.2,19.7,NaN,0.0,USMT,HUC10,1007
Calvert Creek,45.8800,-113.3300,1959.9,NaN,NaN,0.0,USMT,HUC10,1002
Carrot Basin,44.9600,-111.2900,2743.2,0.0,99.0,0.0,USMT,HUC10,1002
Clover Meadow,45.0200,-111.8500,2621.3,4.4,108.0,0.0,USMT,HUC10,1002
Cole Creek,45.1900,-109.3500,2392.7,NaN,87.0,0.0,USMT,HUC10,1007
Combination,46.4700,-113.3900,1706.9,11.9,NaN,0.0,USMT,HUC17,1701
Copper Bottom,47.0600,-112.6000,1585.0,NaN,NaN,0.0,USMT,HUC17,1701
Copper Camp,47.0800,-112.7300,2118.4,5.2,77.0,-0.4,USMT,HUC17,1701
Crystal Lake,46.7900,-109.5100,1844.0,NaN,152.0,-0.3,USMT,HUC10,1004
Daisy Peak,46.6700,-110.3300,2316.5,17.4,105.0,0.2,USMT,HUC10,1004
Daly Creek,46.1800,-113.8500,1761.7,NaN,NaN,NaN,USMT,HUC17,1701
Darkhorse Lake,45.1700,-113.5800,2726.4,42.1,93.0,0.3,USMT,HUC10,1002
Deadman Creek,46.7900,-110.6800,1966.0,25.7,NaN,-0.4,USMT,HUC10,1003
Divide,44.7900,-112.0600,2377.4,28.3,112.0,0.0,USMT,HUC10,1002
Dupuyer Creek,48.0600,-112.7600,1752.6,9.0,114.0,-0.7,USMT,HUC10,1003
East Boulder Mine,45.5000,-110.0800,1930.9,10.9,NaN,0.0,USMT,HUC10,1007
Elk Peak,46.4800,-110.7100,2316.5,0.0,NaN,-0.2,USMT,HUC10,1004
